"County","Sector","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"KERN","Non-Residential","   12775.108683","   10890.226040","   12748.310676","   14413.961505","   13803.320394","   12852.927410","   12264.038075","   13296.723568","   15147.556473","   14395.558338","   12972.505602","   14660.845622","   13089.931888","   12603.572270","   11066.912423","    9719.778231","    8926.728080","    7902.544276","    9834.306829","    9090.895241","    7834.359024","    9423.064751","    8472.601698","    9161.737607","    9020.578232","   12082.611166","  298450.704102"
"KERN","Residential","    2296.087006","    2299.052580","    2273.430030","    2276.871939","    2143.062323","    2096.981974","    2172.600173","    2147.784604","    2092.165150","    2053.016748","    1973.200499","    1865.726974","    1832.104527","    1677.622928","    1635.059071","    1714.099525","    1591.247347","    1558.248491","    1551.094451","    1546.441563","    1450.188794","    1452.922764","    1422.316371","    1459.067510","    1431.212946","    1377.497276","   47389.103564"
"KERN","Total","   15071.195688","   13189.278620","   15021.740706","   16690.833444","   15946.382717","   14949.909384","   14436.638248","   15444.508172","   17239.721623","   16448.575086","   14945.706101","   16526.572596","   14922.036414","   14281.195198","   12701.971493","   11433.877756","   10517.975427","    9460.792767","   11385.401280","   10637.336804","    9284.547817","   10875.987515","    9894.918069","   10620.805116","   10451.791178","   13460.108442","  345839.807661"
"KINGS","Non-Residential","    1406.954155","    1435.159388","    1415.767464","    1313.191473","    1068.868686","    1104.088237","    1220.585827","    1136.742499","    1076.639527","    1031.798706","     984.737243","    1008.941497","     763.561894","     688.776233","     640.814277","     643.209937","     608.380600","     679.343930","     731.746107","     690.887686","     662.551733","     769.032434","     657.159263","     787.960918","     785.165653","     739.232692","   24051.298059"
"KINGS","Residential","     362.842156","     376.647647","     371.572778","     369.357190","     354.827137","     348.930697","     365.048593","     358.961509","     346.835444","     355.582529","     330.211577","     326.274895","     313.895924","     291.759892","     283.642465","     291.393185","     270.418298","     265.439403","     265.212348","     261.264399","     243.132359","     241.366747","     232.703312","     233.932851","     231.619948","     224.178059","    7917.051342"
"KINGS","Total","    1769.796311","    1811.807036","    1787.340242","    1682.548663","    1423.695822","    1453.018933","    1585.634420","    1495.704008","    1423.474970","    1387.381235","    1314.948820","    1335.216392","    1077.457818","     980.536126","     924.456742","     934.603122","     878.798899","     944.783333","     996.958456","     952.152085","     905.684092","    1010.399181","     889.862575","    1021.893769","    1016.785601","     963.410751","   31968.349402"
"LAKE","Non-Residential","     153.735264","     156.505106","     167.890341","     164.297914","     161.111468","     159.984412","     163.823168","     171.015459","     169.713798","     384.037497","     365.074575","     286.973017","     291.992676","     217.758019","     209.272364","     180.259926","     145.230233","     158.988644","     148.937179","     171.257726","     247.448888","     245.169344","     236.455026","     251.022780","     250.992468","     236.340739","    5495.288031"
"LAKE","Residential","     282.257060","     284.225663","     301.919087","     302.163626","     298.390561","     294.608438","     289.438621","     284.826397","     275.171896","     269.187943","     259.195956","     256.998921","     243.797814","     244.762362","     237.520860","     243.300851","     240.399685","     238.969742","     221.693369","     226.495337","     215.371804","     220.759978","     222.324330","     215.200739","     222.194828","     215.462829","    6606.638697"
"LAKE","Total","     435.992324","     440.730769","     469.809428","     466.461540","     459.502029","     454.592849","     453.261789","     455.841856","     444.885694","     653.225440","     624.270531","     543.971938","     535.790490","     462.520381","     446.793224","     423.560777","     385.629918","     397.958386","     370.630548","     397.753063","     462.820692","     465.929322","     458.779355","     466.223519","     473.187296","     451.803569","   12101.926727"
"LASSEN","Non-Residential","     305.799135","     337.848013","     321.656070","     308.017166","     298.081353","     281.106841","     285.805885","     157.543524","     149.038617","     184.401874","     184.685297","     189.128716","     162.227310","     159.274479","     161.797258","     135.133659","     132.504384","     124.908044","     129.457224","     128.569178","     102.402482","     115.048709","      73.210790","      78.849461","      99.889135","      96.656060","    4703.040664"
"LASSEN","Residential","      94.861903","      94.117826","     104.315298","     102.205043","     103.618099","     104.810373","     106.518163","     107.031807","     104.111273","     106.144617","     105.254849","     102.440584","      99.290481","      97.276737","      94.630059","     103.681384","     101.968471","     101.049647","      97.219052","      95.941076","      94.504263","      95.123652","      75.845378","      71.091236","      93.796861","      87.300980","    2544.149112"
"LASSEN","Total","     400.661038","     431.965839","     425.971368","     410.222209","     401.699452","     385.917214","     392.324047","     264.575332","     253.149890","     290.546491","     289.940146","     291.569300","     261.517791","     256.551216","     256.427317","     238.815043","     234.472856","     225.957692","     226.676276","     224.510254","     196.906744","     210.172361","     149.056168","     149.940696","     193.685996","     183.957040","    7247.189776"
"LOS ANGELES","Non-Residential","   49295.556862","   49176.133066","   47740.913438","   48082.906022","   48049.246087","   48502.437285","   49328.025336","   50933.206248","   50690.577974","   50532.080061","   50259.027330","   49686.256510","   49448.370628","   49791.304621","   51779.381085","   50550.076923","   43843.623940","   48058.583902","   48283.623610","   47856.750021","   45640.464246","   46714.161197","   46439.952047","   46894.399047","   46402.250263","   47785.455965"," 1261764.763714"
"LOS ANGELES","Residential","   20233.462080","   20755.517681","   20623.139912","   21080.158393","   20067.880782","   19724.479774","   20593.079556","   21117.094750","   20536.441974","   20377.309381","   19711.287028","   19507.344061","   19056.371105","   17917.541371","   18212.628296","   18891.667196","   17525.531297","   17235.208587","   17578.672109","   16322.056790","   16823.635934","   16065.583395","   15759.083038","   16377.794989","   16310.884065","   16960.720058","  485364.573602"
"LOS ANGELES","Total","   69529.018942","   69931.650746","   68364.053350","   69163.064415","   68117.126869","   68226.917059","   69921.104893","   72050.300997","   71227.019948","   70909.389443","   69970.314358","   69193.600571","   68504.741733","   67708.845992","   69992.009380","   69441.744120","   61369.155237","   65293.792488","   65862.295719","   64178.806811","   62464.100181","   62779.744592","   62199.035085","   63272.194036","   62713.134329","   64746.176022"," 1747129.337316"
"MADERA","Non-Residential","    1236.939873","    1237.136405","    1149.804782","    1100.774047","     971.033827","     969.096100","    1018.719879","    1009.027314","     963.518692","     790.054142","     769.231889","     816.754552","     732.605027","     792.938148","     781.519181","     770.836849","     658.231253","     708.268555","     759.050317","     727.825825","     683.532230","     738.283857","     679.458503","     695.604976","     642.832938","     631.454470","   22034.533631"
"MADERA","Residential","     430.012166","     424.030498","     429.099741","     430.589517","     415.739558","     408.761898","     415.472400","     411.363115","     408.252236","     399.938623","     381.324935","     373.206994","     361.681538","     336.163443","     324.818068","     339.663850","     329.357730","     321.720668","     311.941573","     309.062289","     290.707813","     286.221168","     279.636988","     278.816591","     274.482487","     262.454632","    9234.520519"
"MADERA","Total","    1666.952039","    1661.166903","    1578.904523","    1531.363564","    1386.773385","    1377.857999","    1434.192279","    1420.390429","    1371.770928","    1189.992765","    1150.556824","    1189.961546","    1094.286565","    1129.101591","    1106.337250","    1110.500699","     987.588984","    1029.989224","    1070.991890","    1036.888114","     974.240043","    1024.505025","     959.095491","     974.421567","     917.315425","     893.909102","   31269.054154"
"MARIN","Non-Residential","     696.041909","     703.143159","     711.552659","     701.041250","     706.930083","     722.870696","     752.828556","     760.940367","     742.110766","     722.706187","     714.394629","     741.124733","     724.342282","     763.915487","     733.622717","     789.230977","     619.827111","     726.912532","     737.830002","     703.303158","     687.441333","     687.312474","     694.873997","     685.006788","     642.907839","     658.488510","   18530.700201"
"MARIN","Residential","     666.608670","     650.471151","     683.749025","     689.774269","     702.736425","     703.396692","     708.936997","     705.015444","     705.038090","     705.399831","     689.892108","     687.903297","     660.680586","     659.871010","     638.342108","     701.216630","     694.167002","     679.986138","     650.725465","     641.424276","     632.300683","     615.883459","     619.375851","     597.767275","     607.809672","     602.554328","   17301.026482"
"MARIN","Total","    1362.650579","    1353.614310","    1395.301683","    1390.815518","    1409.666508","    1426.267388","    1461.765554","    1465.955812","    1447.148856","    1428.106018","    1404.286737","    1429.028031","    1385.022868","    1423.786497","    1371.964825","    1490.447608","    1313.994112","    1406.898670","    1388.555466","    1344.727434","    1319.742016","    1303.195933","    1314.249848","    1282.774063","    1250.717511","    1261.042838","   35831.726683"
"MARIPOSA","Non-Residential","      38.840985","      41.269050","      41.544407","      40.697049","      39.150808","      39.676854","      47.202078","      58.017966","      55.045319","      38.356851","      36.047566","      38.360873","      40.001373","      41.883410","      43.139677","      42.424848","      49.224679","      60.909254","      58.239298","      57.650984","      55.868506","      57.081462","      49.757088","      53.678620","      55.506242","      48.887640","    1228.462887"
"MARIPOSA","Residential","      68.968299","      68.260044","      71.631572","      72.310983","      71.896480","      72.573298","      72.848422","      73.058883","      72.446712","      69.961751","      67.389556","      67.750668","      64.979725","      62.771183","      61.516394","      64.727849","      64.394643","      63.805406","      60.825895","      60.508737","      58.417654","      56.751586","      55.775800","      54.215393","      55.541087","      53.734453","    1687.062473"
"MARIPOSA","Total","     107.809284","     109.529094","     113.175979","     113.008032","     111.047289","     112.250151","     120.050500","     131.076849","     127.492031","     108.318603","     103.437122","     106.111541","     104.981098","     104.654593","     104.656072","     107.152697","     113.619322","     124.714660","     119.065193","     118.159721","     114.286160","     113.833048","     105.532888","     107.894014","     111.047330","     102.622092","    2915.525363"
"MENDOCINO","Non-Residential","     271.650585","     269.451114","     269.154280","     268.942195","     266.357221","     260.741660","     261.902278","     278.798595","     282.914705","     396.963046","     406.379417","     287.313520","     279.549240","     295.801427","     308.967974","     358.115741","     309.313085","     322.391091","     360.999696","     343.145685","     325.062839","     329.924308","     333.750328","     326.565952","     311.806066","     337.309060","    8063.271108"
"MENDOCINO","Residential","     299.465173","     294.139827","     324.044157","     333.177567","     337.464625","     340.017568","     340.434894","     338.774135","     331.123202","     314.130123","     295.418762","     284.903857","     265.319881","     264.129336","     256.270750","     279.353614","     268.475773","     259.877891","     249.441331","     253.175540","     235.357224","     240.739424","     243.797244","     239.200107","     249.050097","     248.238280","    7385.520382"
"MENDOCINO","Total","     571.115758","     563.590942","     593.198437","     602.119762","     603.821846","     600.759228","     602.337172","     617.572730","     614.037907","     711.093169","     701.798179","     572.217377","     544.869121","     559.930763","     565.238725","     637.469355","     577.788858","     582.268982","     610.441027","     596.321226","     560.420063","     570.663732","     577.547572","     565.766058","     560.856163","     585.547341","   15448.791493"
"MERCED","Non-Residential","    2208.375352","    2305.917732","    2362.187407","    2602.526320","    2981.263997","    2737.484699","    2065.688876","    2055.827015","    3009.824580","    2153.908678","    2275.301655","    2470.209341","    2250.992850","    2374.526327","    2265.780368","    2326.722409","    2570.725412","    1907.396781","    2239.912634","    2259.405903","    2082.363487","    1684.929839","    2338.478400","    1728.999635","    1630.122838","    1891.488283","   58780.360818"
"MERCED","Residential","     718.512694","     715.961124","     696.699633","     703.723814","     676.967989","     658.039160","     676.859341","     669.124122","     658.181346","     654.672612","     620.915113","     612.596943","     588.148148","     558.072289","     539.407689","     555.908097","     531.013859","     519.539777","     509.773267","     502.477454","     475.984955","     471.520428","     464.213059","     414.612266","     410.238408","     445.584211","   15048.747798"
"MERCED","Total","    2926.888046","    3021.878856","    3058.887040","    3306.250134","    3658.231986","    3395.523859","    2742.548217","    2724.951137","    3668.005926","    2808.581290","    2896.216768","    3082.806284","    2839.140998","    2932.598616","    2805.188057","    2882.630506","    3101.739271","    2426.936558","    2749.685901","    2761.883357","    2558.348443","    2156.450267","    2802.691459","    2143.611901","    2040.361245","    2337.072494","   73829.108616"
"MODOC","Non-Residential","     110.235143","     114.232138","     107.906257","     106.391512","      87.847398","      93.720650","      97.662771","      97.814449","      87.753975","     101.258056","      95.925456","      95.225146","     112.642497","     106.295988","     108.410231","     109.576587","     109.597951","      84.428478","     107.788858","     111.510432","      83.522654","      88.038808","      97.560813","     109.085654","      73.770641","      89.335467","    2587.538010"
"MODOC","Residential","      54.069319","      53.422913","      61.008204","      57.447446","      61.363255","      60.279271","      61.354571","      63.026113","      58.710808","      59.044041","      57.577305","      56.453333","      56.767659","      55.363948","      53.733110","      55.575865","      56.781566","      58.079964","      56.802300","      64.699111","      53.878076","      55.755366","      58.621914","      53.699222","      54.603130","      50.605452","    1488.723262"
"MODOC","Total","     164.304461","     167.655050","     168.914461","     163.838958","     149.210652","     153.999921","     159.017342","     160.840561","     146.464782","     160.302097","     153.502761","     151.678479","     169.410156","     161.659936","     162.143341","     165.152453","     166.379517","     142.508443","     164.591158","     176.209543","     137.400730","     143.794174","     156.182727","     162.784875","     128.373771","     139.940919","    4076.261268"
"MONO","Non-Residential","     105.678466","     103.876423","     105.530128","     103.219006","     109.139342","     106.859016","     108.684869","     107.168864","      87.829135","      91.100496","     100.762674","     102.606496","      75.251732","      59.019600","      50.321903","      54.999755","      55.733502","      95.825092","      99.165710","      89.163471","      83.781057","      84.122684","      80.989146","      80.400407","     100.264493","      74.302017","    2315.795484"
"MONO","Residential","      81.513078","      87.587770","      98.793552","      93.651995","      95.661341","      94.297882","      90.986621","      92.534014","      97.752648","      83.801944","      94.836823","      92.476031","      88.206868","      86.703717","      86.207593","      91.895434","      83.750738","      88.994043","      81.892419","      81.123803","      81.678987","      85.462068","      85.942805","      81.819393","      84.602740","      85.017504","    2297.191811"
"MONO","Total","     187.191544","     191.464192","     204.323680","     196.871000","     204.800683","     201.156898","     199.671490","     199.702877","     185.581783","     174.902440","     195.599497","     195.082528","     163.458600","     145.723317","     136.529496","     146.895189","     139.484241","     184.819134","     181.058130","     170.287274","     165.460044","     169.584752","     166.931950","     162.219800","     184.867233","     159.319521","    4612.987293"
"MONTEREY","Non-Residential","    1964.158070","    1929.551433","    1911.394704","    1877.220853","    1841.914637","    1840.144064","    1872.360072","    1892.200032","    1847.559843","    1829.926942","    1840.351787","    1894.615934","    1892.130388","    1873.331791","    1812.786651","    1781.405503","    1477.562729","    1624.158120","    1697.108583","    1611.814796","    1653.139144","    1469.483303","    1580.229134","    1603.913014","    1554.741172","    1514.250912","   45687.453611"
"MONTEREY","Residential","     696.014751","     681.704745","     721.128050","     728.282375","     732.991141","     734.342263","     731.417227","     731.468117","     741.865266","     728.715085","     715.618876","     725.062340","     707.506859","     693.575982","     684.047399","     721.000760","     716.121586","     680.140103","     654.768601","     634.604678","     623.044510","     622.894636","     622.102410","     606.054357","     630.038290","     607.814014","   17872.324421"
"MONTEREY","Total","    2660.172821","    2611.256178","    2632.522754","    2605.503227","    2574.905778","    2574.486327","    2603.777298","    2623.668149","    2589.425109","    2558.642027","    2555.970663","    2619.678273","    2599.637247","    2566.907773","    2496.834050","    2502.406263","    2193.684315","    2304.298222","    2351.877184","    2246.419474","    2276.183654","    2092.377939","    2202.331544","    2209.967371","    2184.779462","    2122.064926","   63559.778028"
"NAPA","Non-Residential","     683.928173","     682.606616","     679.154736","     663.939233","     656.251575","     643.491892","     642.594758","     659.756634","     632.818250","     605.677058","     582.554763","     573.939884","     562.785630","     559.309232","     541.224467","     589.338139","     484.719421","     536.748780","     515.703696","     480.131149","     401.247512","     384.679955","     387.312787","     387.647524","     355.505993","     340.993524","   14234.061381"
