County,Sector,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
ORANGE,Residential,316.917643,319.182227,397.971459,381.525333,407.680578,404.664819,386.279255,396.043775,404.417904,399.021084,395.782705,421.254583,403.598314,411.094764,438.210607,434.460828,478.501216,450.343517,396.536106,403.72909,397.462416,430.515605,414.782164,432.281199,433.331905,431.894754,10587.48385
ORANGE,Total,550.706172,550.231534,641.348164,609.531583,638.941453,640.175625,615.145433,634.605721,655.788409,651.078735,681.162587,702.223068,707.326316,792.065818,754.656617,657.558177,712.138356,665.352907,568.248501,566.3629,538.398797,578.933268,553.422942,527.689584,565.268543,585.515075,16343.87629
PLACER,Non-Residential,25.405885,24.738179,28.209313,26.84036,28.905967,29.758831,29.547508,31.037436,49.416883,49.539959,59.223576,57.895202,48.108203,39.620472,18.277503,38.668399,28.624031,27.733144,24.216481,21.441569,19.665914,20.133308,21.602168,18.335961,22.006729,22.016487,810.969468
PLACER,Residential,53.368119,50.983037,62.016737,59.852204,65.145637,61.69758,60.330452,59.431686,76.091989,78.466788,68.312109,61.890007,58.363557,38.174235,41.798487,56.647905,39.775906,36.972241,29.824458,28.691913,26.495154,37.651215,35.891028,30.693564,32.389337,31.628462,1282.583807
PLACER,Total,78.774004,75.721216,90.22605,86.692564,94.051604,91.456411,89.87796,90.469122,125.508872,128.006747,127.535685,119.785209,106.47176,77.794707,60.07599,95.316304,68.399937,64.705385,54.040939,50.133482,46.161068,57.784523,57.493196,49.029525,54.396066,53.644949,2093.553275
RIVERSIDE,Non-Residential,131.817854,126.517527,133.048236,125.596694,132.710948,135.173819,130.74357,141.79918,158.273387,151.273646,162.006085,149.779322,164.220204,221.854688,194.774713,116.656841,116.034065,108.182232,100.748257,87.829051,74.601054,93.29152,85.508798,55.037152,77.672857,87.872961,3263.024661
RIVERSIDE,Residential,224.847393,207.34392,253.347543,242.957288,269.219178,267.215376,257.963404,272.664672,274.388587,265.250004,260.326198,269.336016,246.359744,243.272348,241.321291,236.241273,245.42819,243.040286,209.319444,204.665326,205.960491,223.088276,217.300364,216.986649,217.514096,207.699728,6223.057085
RIVERSIDE,Total,356.665247,333.861447,386.395779,368.553982,401.930126,402.389195,388.706974,414.463852,432.661974,416.52365,422.332283,419.115338,410.579948,465.127036,436.096004,352.898114,361.462255,351.222518,310.067701,292.494377,280.561545,316.379796,302.809162,272.023801,295.186953,295.572689,9486.081746
SACRAMENTO,Non-Residential,101.971186,99.995722,106.040422,99.238233,101.085975,99.678325,99.966553,101.33891,105.485753,106.321942,98.184819,91.897319,114.0115,105.971946,103.203931,104.186961,104.967154,101.493961,109.251559,113.811381,122.322276,126.819437,129.416935,135.809742,140.119896,145.416005,2868.007843
SACRAMENTO,Residential,176.522484,172.920651,209.65881,204.645173,220.407313,210.904743,211.280906,206.653255,204.909738,204.637455,196.757691,201.978905,201.901691,122.76049,154.8872,206.532034,226.959092,221.155224,189.613766,190.461987,188.459188,210.457721,205.945657,188.638076,204.646175,195.242075,5128.9375
SACRAMENTO,Total,278.493671,272.916373,315.699232,303.883406,321.493288,310.583068,311.247459,307.992165,310.395491,310.959397,294.94251,293.876224,315.913191,228.732436,258.091131,310.718995,331.926246,322.649185,298.865325,304.273368,310.781464,337.277158,335.362592,324.447818,344.766071,340.65808,7996.945344
SAN BENITO,Non-Residential,7.139173,6.647981,6.70526,6.946851,6.555291,6.573619,6.582043,6.858301,8.158806,9.318643,18.825059,16.567768,10.976007,9.247581,15.16523,10.795836,10.998087,9.658965,8.530406,10.560892,9.287332,9.913508,9.423909,8.405766,10.987451,12.440253,253.270018
SAN BENITO,Residential,5.773879,5.520497,6.900931,6.636292,6.829514,6.765353,6.63106,6.729063,6.865349,6.806168,6.460231,6.944888,7.769993,4.26818,5.397983,7.126485,7.733951,7.036741,5.782821,5.518178,5.216757,6.031427,5.438498,4.898875,5.40569,5.038302,161.527106
