"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SAN DIEGO","Residential","     303.771611","     264.526740","     272.796531","     268.989959","     255.632102","     256.576175","     318.306133","     311.180545","     326.950605","     337.913994","     308.747489","     324.692766","     331.933074","     345.407561","     335.165037","     357.561834","     339.788853","     357.118566","     358.484528","     340.240000","     336.396742","     323.967176","     311.537610","     317.043317","     316.193149","     343.816395","     327.053252","     313.662931","     335.282095","     337.914904","    9578.651674"
"SAN DIEGO","Total","     533.912231","     482.524487","     479.835986","     472.790143","     452.764993","     451.020019","     527.642787","     514.701980","     528.860009","     556.261657","     514.883170","     541.365756","     547.046031","     564.085858","     554.838720","     582.332975","     565.149872","     576.623407","     573.325162","     541.174898","     539.865887","     521.853456","     505.690363","     508.771652","     514.678176","     539.359954","     499.795028","     499.878073","     506.064377","     518.505484","   15715.602591"
"SAN FRANCISCO","Non-Residential","      96.487894","      96.321277","      97.270152","      97.105427","      91.905348","      96.065300","     106.011578","     106.903732","     109.090197","     109.994398","     125.040662","     146.759931","     108.668156","     116.022887","     111.768087","     109.955307","      97.959524","      95.431495","      88.219871","     132.511526","     129.467290","     120.853862","     109.390191","     110.161093","     109.004716","     120.578986","     113.980467","     107.040911","     114.702368","     109.349523","    3284.022156"
"SAN FRANCISCO","Residential","     132.991023","     131.708257","     132.686709","     129.691210","     121.859957","     123.885787","     150.705983","     150.683970","     153.808612","     153.795600","     152.690440","     155.793680","     149.712563","     148.364270","     146.359756","     152.140021","     149.999741","     153.014999","     144.414040","     167.285339","     187.057292","     172.397128","     155.948393","     160.911587","     161.678399","     177.078313","     167.620849","     159.255637","     184.027844","     180.513222","    4608.080621"
"SAN FRANCISCO","Total","     229.478917","     228.029534","     229.956861","     226.796637","     213.765305","     219.951087","     256.717561","     257.587702","     262.898809","     263.789998","     277.731102","     302.553611","     258.380719","     264.387157","     258.127843","     262.095328","     247.959265","     248.446494","     232.633911","     299.796865","     316.524583","     293.250990","     265.338584","     271.072680","     270.683116","     297.657299","     281.601317","     266.296548","     298.730212","     289.862745","    7892.102780"
"SAN JOAQUIN","Non-Residential","     170.240545","     159.845616","     114.157133","     115.649193","     114.865076","     120.422513","     147.429797","     131.934042","     120.123945","     105.336564","     105.947246","     113.407694","     115.878801","     134.847515","     120.731847","     145.777399","     112.349808","     107.405218","     125.618377","     179.442015","     184.864723","     184.255940","     166.462513","     174.742425","     167.160870","     163.189967","     171.607377","     165.720541","     174.807003","     200.671334","    4314.893037"
"SAN JOAQUIN","Residential","      89.135338","      85.595097","      86.569922","      79.777541","      79.102273","      77.094026","      93.128936","      90.742952","      98.187226","      93.409796","      92.330695","      91.179852","      92.220734","      91.390205","      90.155454","      93.716012","      92.397631","      94.254986","      88.956922","      89.170693","      97.987870","      92.994284","      80.242607","      79.395432","      77.259512","      88.593089","      85.693401","      79.025715","      85.167254","      84.892672","    2639.768127"
"SAN JOAQUIN","Total","     259.375883","     245.440713","     200.727055","     195.426734","     193.967349","     197.516539","     240.558733","     222.676994","     218.311171","     198.746360","     198.277941","     204.587546","     208.099534","     226.237720","     210.887301","     239.493412","     204.747440","     201.660204","     214.575299","     268.612708","     282.852593","     277.250224","     246.705119","     254.137857","     244.420382","     251.783057","     257.300778","     244.746256","     259.974257","     285.564006","    6954.661165"
"SAN LUIS OBISPO","Non-Residential","      50.989180","      45.416228","      48.014868","      45.382870","      45.168313","      43.999232","      44.005416","      41.759529","      39.391956","      38.362388","      39.402243","      38.537017","      51.898295","      50.665418","      50.102293","      51.386315","      52.650008","      51.195435","      44.311968","      30.535736","      32.660503","      31.083837","      33.144949","      23.864529","      18.948376","      20.458210","      20.536045","      18.284918","      19.773264","      19.921909","    1141.851248"
"SAN LUIS OBISPO","Residential","      38.737334","      36.261461","      35.772702","      34.939014","      32.361254","      32.755086","      40.935664","      40.057308","      41.274860","      40.530220","      39.784370","      40.090590","      41.005818","      40.597180","      39.562237","      42.514348","      40.097537","      42.633348","      43.172781","      38.224990","      42.164225","      39.312484","      33.235019","      33.584529","      32.810402","      35.546039","      33.274078","      34.855707","      35.670203","      33.836581","    1135.597369"
"SAN LUIS OBISPO","Total","      89.726514","      81.677689","      83.787570","      80.321884","      77.529567","      76.754318","      84.941079","      81.816837","      80.666816","      78.892608","      79.186613","      78.627607","      92.904113","      91.262598","      89.664530","      93.900663","      92.747545","      93.828784","      87.484748","      68.760726","      74.824728","      70.396321","      66.379968","      57.449059","      51.758778","      56.004248","      53.810123","      53.140625","      55.443467","      53.758490","    2277.448616"
